date,item_code,item_desc,item_variation,item_weight,index_name
2020-01-01,0,indice geral,0.21,100.0,IPCA
2020-01-01,1,alimentacao e bebidas,0.39,19.3483,IPCA
2020-01-01,11,alimentacao no domicilio,0.2,13.4813,IPCA
2020-01-01,1101,"cereais, leguminosas e oleaginosas",0.75,0.6927,IPCA
2020-01-01,1101002,arroz,1.31,0.4753,IPCA
2020-01-01,1101051,feijao - mulatinho,4.5,0.0116,IPCA
2020-01-01,1101052,feijao - preto,-2.68,0.0486,IPCA
2020-01-01,1101053,feijao - macacar (fradinho),5.39,0.0121,IPCA
2020-01-01,1101073,feijao - carioca (rajado),-0.7,0.135,IPCA
2020-01-01,1101079,milho (em grao),0.2,0.01,IPCA
2020-01-01,1102,"farinhas, feculas e massas",0.9,0.4494,IPCA
2020-01-01,1102001,farinha de arroz,1.25,0.0028,IPCA
2020-01-01,1102006,macarrao,-0.18,0.1467,IPCA
2020-01-01,1102008,fuba de milho,0.43,0.0079,IPCA
2020-01-01,1102010,flocos de milho,-0.03,0.0102,IPCA
2020-01-01,1102012,farinha de trigo,0.3,0.0459,IPCA
2020-01-01,1102023,farinha de mandioca,2.51,0.0923,IPCA
2020-01-01,1102029,massa semipreparada,1.85,0.1166,IPCA
2020-01-01,1102061,macarrao instantaneo,-1.32,0.0271,IPCA
2020-01-01,1103,"tuberculos, raizes e legumes",7.81,0.528,IPCA
2020-01-01,1103002,batata-doce,4.67,0.0207,IPCA
2020-01-01,1103003,batata-inglesa,11.02,0.1462,IPCA
2020-01-01,1103004,inhame,1.65,0.0019,IPCA
2020-01-01,1103005,mandioca (aipim),-2.43,0.0135,IPCA
2020-01-01,1103020,abobrinha,17.39,0.0062,IPCA
2020-01-01,1103025,pepino,10.1,0.0026,IPCA
2020-01-01,1103026,pimentao,-7.58,0.0134,IPCA
2020-01-01,1103028,tomate,13.72,0.1798,IPCA
2020-01-01,1103043,cebola,-6.06,0.1027,IPCA
2020-01-01,1103044,cenoura,13.92,0.041,IPCA
2020-01-01,1104,acucares e derivados,0.74,0.6189,IPCA
2020-01-01,1104003,acucar refinado,0.44,0.088,IPCA
2020-01-01,1104004,acucar cristal,2.38,0.0927,IPCA
2020-01-01,1104018,balas,-1.22,0.017,IPCA
2020-01-01,1104023,chocolate em barra e bombom,0.82,0.1816,IPCA
2020-01-01,1104032,sorvete,-0.18,0.1316,IPCA
2020-01-01,1104052,chocolate e achocolatado em po,0.88,0.1062,IPCA
2020-01-01,1104060,doce de frutas em pasta,-0.51,0.0014,IPCA
2020-01-01,1104067,acucar demerara,0.17,0.0005,IPCA
2020-01-01,1105,hortalicas e verduras,2.52,0.181,IPCA
2020-01-01,1105001,alface,3.24,0.0803,IPCA
2020-01-01,1105004,coentro,2.26,0.0076,IPCA
2020-01-01,1105005,couve,2.32,0.0147,IPCA
2020-01-01,1105006,couve-flor,7.13,0.0028,IPCA
2020-01-01,1105010,repolho,4.37,0.0131,IPCA
2020-01-01,1105012,cheiro-verde,1.72,0.0387,IPCA
2020-01-01,1105019,brocolis,0.03,0.0237,IPCA
2020-01-01,1106,frutas,1.87,0.8482,IPCA
2020-01-01,1106001,banana-da-terra,2.19,0.0185,IPCA
2020-01-01,1106003,abacaxi,-1.19,0.0177,IPCA
2020-01-01,1106004,abacate,5.4,0.0017,IPCA
2020-01-01,1106005,banana - d'agua,-1.9,0.0953,IPCA
2020-01-01,1106006,banana - maca,10.47,0.004,IPCA
2020-01-01,1106008,banana - prata,7.87,0.1488,IPCA
2020-01-01,1106011,laranja - baia,-8.07,0.0041,IPCA
2020-01-01,1106012,laranja - lima,6.15,0.0047,IPCA
2020-01-01,1106015,limao,-30.35,0.0265,IPCA
2020-01-01,1106017,maca,2.95,0.1344,IPCA
2020-01-01,1106018,mamao,-2.2,0.0751,IPCA
2020-01-01,1106019,manga,3.14,0.0472,IPCA
2020-01-01,1106020,maracuja,24.56,0.0077,IPCA
2020-01-01,1106021,melancia,-3.24,0.0287,IPCA
2020-01-01,1106022,melao,-2.89,0.0143,IPCA
2020-01-01,1106023,pera,5.38,0.0194,IPCA
2020-01-01,1106027,tangerina,1.37,0.0279,IPCA
2020-01-01,1106028,uva,2.88,0.0753,IPCA
2020-01-01,1106039,laranja - pera,6.26,0.0847,IPCA
2020-01-01,1106051,morango,-1.57,0.0071,IPCA
2020-01-01,1106084,goiaba,4.05,0.005,IPCA
2020-01-01,1107,carnes,-4.03,2.6658,IPCA
2020-01-01,1107009,figado,1.76,0.0177,IPCA
2020-01-01,1107018,carne de porco,1.66,0.3364,IPCA
2020-01-01,1107031,carne de carneiro,-2.73,0.0026,IPCA
2020-01-01,1107081,cupim,1.43,0.0088,IPCA
2020-01-01,1107084,contrafile,-5.09,0.4514,IPCA
2020-01-01,1107085,file-mignon,-9.42,0.0302,IPCA
2020-01-01,1107087,cha de dentro,-6.83,0.3046,IPCA
2020-01-01,1107088,alcatra,-5.89,0.3605,IPCA
2020-01-01,1107089,patinho,-8.32,0.1684,IPCA
2020-01-01,1107090,lagarto redondo,-3.94,0.0082,IPCA
2020-01-01,1107091,lagarto comum,-4.34,0.0686,IPCA
2020-01-01,1107093,musculo,-1.89,0.1368,IPCA
2020-01-01,1107094,pa,-4.71,0.1061,IPCA
2020-01-01,1107095,acem,-6.52,0.2516,IPCA
2020-01-01,1107096,peito,0.08,0.0135,IPCA
2020-01-01,1107097,capa de file,1.45,0.0377,IPCA
2020-01-01,1107099,costela,-1.31,0.323,IPCA
2020-01-01,1107208,picanha,-1.51,0.0396,IPCA
2020-01-01,1108,pescados,3.39,0.2177,IPCA
2020-01-01,1108002,peixe - anchova,2.51,0.0006,IPCA
2020-01-01,1108004,peixe - corvina,9.24,0.0212,IPCA
